name,partOfSpeech,definition,etymology,tags,synonym,notes,
goad,noun,1(a): something that pains as if by pricking : thorn (b): something that urges or stimulates into action : spur  2: a pointed rod used to urge on an animal,,,<motive>,Goad suggests a motive that keeps one going against one's will or desire <thought insecurity a goad to worker efficiency>,
gratuitous,,,,,,,
gravid,adjective,1: pregnant   2: distended with or full of eggs <a gravid fish>  ,,,,,
gravitas,,,,,,,
gravitate,,,,,,,
gravity,,,,,,,
greenshifting,,,,,,,
grok,verb,: to share the same reality or line of thinking with another physical or conceptual entity,,,,"Author Robert A. Heinlein coined the term in his best-selling 1961 book Stranger in a Strange Land. In Heinlein's view of quantum theory, grokking is the intermingling of intelligence that necessarily affects both the observer and the observed.  From the novel: ""Grok means to understand so thoroughly that the observer becomes a part of the observed—to merge, blend, intermarry, lose identity in group experience. It means almost everything that we mean by religion, philosophy, and science—and it means as little to us (because of our Earthly assumptions) as color means to a blind man.""",
grotto,,,,,,,
grouse,,,,,,,
guru,,,,,,,
gusto,noun,,,,,,
haberdashery,,,,,,,
hackneyed,,,,,,,
Halycon,adjective,,,,,,
hamlet,,,,,,,
hap·ax le·go·me·non,,,,,,,
hapless,,,,,,,
haram,,,,,,,
harangue,,,,,,,
haughty,adjective,: blatantly and disdainfully proud,,,<proud>,Haughty suggests a consciousness of superior birth or position <a haughty aristocrat>,
hayseed,,,,,,,
hearsay,,,,,,,
hebetude,noun,,,,,,
heft,,,,,,,
hegemony,,,,,,,
heliopause,noun,,,,,,
hellacious,adjective,,,,,,
hellbroth,noun,,,(slang),,Hunterism,
hemidemisemiquaver,noun,,,(obscure),,,
herald,noun,2: an official crier or messenger  3(a): one that precedes or foreshadows (b): one that conveys news or proclaims : announcer  (c): one who actively promotes or advocates : exponent,,,,"Harbinger and herald both apply, chiefly figuratively, to one that proclaims or announces the coming or arrival of a notable event <their early victory was the harbinger of a winning season> <the herald of a new age in medicine>",
herald,verb,1: to give notice of : announce  2(a): to greet especially with enthusiasm : hail <doctors are heralding a new drug> (b): publicize  3: to signal the approach of : foreshadow,,,,,
heresy,,,,,,,
hermetic,adjective,,,,,,
hey rube,noun,1. A fight between members of a circus and the general public. 2. A call to rally circus members in a fight. ,,,,The term originated in the 19th century when circuses were rowdy affairs and Hey Rube was the rallying cry to call all circus people to help in a fight with townspeople. It's not clear whether Rube in this term was someone specific or simply a use of the informal term rube (shortened form of Reuben) for an unsophisticated person from a rural area. ,
highfalutin,adjective,,,,,,
hinterland,,,,,,,
hirsute,,,,,,,
hokum,,,,,,,
hootenanny,,,,,,,
horripilation,noun,": the act or process of the hair bristling on the skin, as from cold or fear; goose flesh",,(obscure),,,
hubbub,,,,,,,
hubris,noun,,,,,,
hullabaloo,,,,,,,
hyperbole,noun,,,(literary),,,
hyperbolic,adjective,,,(literary),,,
ideate,,,,,,,
idee fixe,noun,: an idea that dominates one's mind especially for a prolonged period : obsession  ,[French],,<obsession>,,
idiom,,,,,,,
idiosyncracy,,,,,,,
ilk,,,,,,,
imago,noun,"1. An idealized concept of a loved one, formed in childhood and retained unaltered in adult life.  2. Entomology . An adult insect.",,(love),,,
imbroglio,noun,,,,,,
immolate,,,,,,,
impasse,,,,,,,
impeccable,,,,,,,
impecunious,,,,,,,
imperative,,,,,,,
impetus,,,,,,,
impinge,verb,"1: to strike or dash especially with a sharp collision <I heard the rain impinge upon the earth — James Joyce>   2 : to have an effect : make an impression <waiting for the germ of a new idea to impinge upon my mind — Phyllis Bentley>   3: encroach  , infringe <impinge on other people's rights>  ",,,<trespass>,,
implore,,,,,,,
import,,,,,,,
imposition,,,,,,,
impugn,,,,,,,
impunity,,,,,,,
incarcerate,,,,,,,
incarnation,,,,,,,
incediary,,,,,,,
incensed,,,,,,,
incessant,,,,,,,
inchoate,,,,,,,
incite,,,,,,,
incredulous,,,,,,,
inculcate,,,,,,,
inculcate,,,,,,,
indefatigable,adjective,,,,,,
indemnity,,,,,,,
indignant,,,,,,,
indispensable,,,,,,,
indolent,,,,,,,
inebriated,,,,,,,
ineffable,adjective,,,,,,
ineluctable,adjective,": not to be avoided, changed, or resisted : inevitable <an ineluctable fate>  ",,,<inevitable>,"Wrestling was a popular sport in ancient Rome. In Latin, luctator was the word for a wrestler and luctari meant ""to wrestle."" Luctari also had extended senses: ""to struggle,"" ""to strive,"" or ""to contend."" Eluctari joined e- (""ex"") with luctari, forming a verb meaning ""to struggle clear of."" Ineluctabilis brought in the negative prefix in- to form an adjective describing something that cannot be escaped or avoided. English-speakers borrowed the word as ""ineluctable"" around 1623. Another descendent of luctari is ""reluctant."" Reluctari meant ""to struggle against""--hence someone who is ""reluctant"" resists or holds back.",
inexorable,adjective,,,,,,
inextricable,,,,,,,
infer,,,,,,,
inference,,,,,,,
infrangible,adjective,,,,,,
ingratiate,verb,: to gain favor or favorable acceptance for by deliberate effort —usually used with with <ingratiate themselves with the community leaders — William Attwood,,,,,
innocuous,,,,,,,
inordinate,,,,,,,
inscrutable,adjective,,,,,,
insegrevious,adjective,: means anything you want it to mean ; attributed to Gary Owen.,,(humorous),,Discussed on Way with Words (8-23-08),
insidious,,,,,,,
insolent,adjective,1: insultingly contemptuous in speech or conduct : overbearing   2: exhibiting boldness or effrontery : impudent,,,<proud>,Insolent implies contemptuous haughtiness <ignored by an insolent waiter>,
insufferable,,,,,,,
intelligentsia,,,,,,,
intepid,,,,,,,
interminible,adjective,,,,,,
interstice,,,,,,,
interstitial,,,,,,,
intone,,,,,,,
intractable,,,,,,,
introspection,,,,,,,
introverted,,,,,,,
inundate,,,,,,,
inveigle,,,,,,,
inveterate,,,,,,,
invoke,,,,,,,
ipso facto,noun,,[Latin],,,,
irascible,,,,,,,
irregardless,adverb,nonstandard : regardless,,(humorous),,"Irregardless originated in dialectal American speech in the early 20th century. Its fairly widespread use in speech called it to the attention of usage commentators as early as 1927. The most frequently repeated remark about it is that “there is no such word.” There is such a word, however. It is still used primarily in speech, although it can be found from time to time in edited prose. Its reputation has not risen over the years, and it is still a long way from general acceptance. Use regardless instead.",
irreverent,,,,,,,
irridescent,,,,,,,
isthmus,,,,,,,
itinerant,adjective, : traveling from place to place; especially : covering a circuit <itinerant preacher>,,,,,
jeli,noun ,,[African Mandingo],,,,
jeux de mots,,,,,,,
jingo,,,,,,,
keen,,,,,,,
keening,,,,,,,
ken,,,,,,,
kinghell,adjective,,,(slang),,Hunterism,
knell,,,,,,,
koan,,,,,,,
kowtow,verb,,,,,,
Kummerspeck,noun,": literally, sorrow bacon. the weight you gain due to excessive eating because you are worried",[German],,,,
laconic,adjective,: using or involving the use of a minimum of words : concise to the point of seeming rude or mysterious,,,<concise>,"Laconic implies brevity to the point of seeming rude, indifferent, or mysterious <an aloof and laconic stranger>",
lament,,,,,,,
lank,,,,,,,
lascivious,,,,,,,
laxidasical,,,,,,,
lecher,,,,,,,
leery,,,,,,,
leitmotif,,,,,,,
lewd,,,,,,,
lexicographer,,,,,,,
liaison,,,,,,,
libel,,,,,,,
libertinage,,,,,,,
libido,,,,,,,
lingua franca,noun,"1. any language that is widely used as a means of communication among speakers of other languages. 2. ( initial capital letter ) the Italian-Provençal jargon (with elements of spanish, french, Greek, arabic, and Turkish) formerly widely used in eastern Mediterranean ports. ",,(literary),,,
liscentious,,,,,,,
literary,,,,,,,
litigious,,,,,,,
litotes,,,,,,,
livid,,,,,,,
loathe,,,,,,,
logamachy,,,,,,,
logophile,noun,: a lover of words,,(literary),,see Dictionary.com entry,
loquacious,adjective,1: full of excessive talk : wordy   2: given to fluent or excessive talk : garrulous,,,<talkative>,"Loquacious suggests the power of expressing oneself articulately, fluently, or glibly <a loquacious spokesperson>",
lothario,noun,,,(salacious),,,
loyalty,,,,,,,
lubricity,noun,,,(salacious),,,
lucid,,,,,,,
ludic,,,,,,,
lung butter,noun,": thick mucas covering the lining of the lungs, often causing a productive cough",,(slang),,,
lurid,,,,,,,
lynchpin,,,,,,,
macabre,adjective,,,,,,
machismo,,,,,,,
maelstrom,,,,,,,
maladjusted,,,,,,,
malaise,,,,,,,
malapropism,noun,,,,,,
malcontent,,,,,,,
malicious,,,,,,,
malign,,,,,,,
maquette,,,,,,,
mar,,,,,,,
maritorious,,Excessively fond of one's husband. ,,,,,
masticate,verb, transitive verb  1: to grind or crush (food) with or as if with the teeth : chew   2: to soften or reduce to pulp by crushing or kneading,,(obscure),<chew>,,
maudlin,,,,,,,
mawkish,adjective,,,,,,
mea culpa,,,,,,,
meander,,,,,,,
meat'n'three,noun,,,(salacious),,,
meditation,,,,,,,
meglomaniac,,,,,,,
mellifulous,,,,,,,
melodramatic,,,,,,,
mendicant,,,,,,,
mercurial,adjective,,,,,,
meronym,noun,: a word that names a part of a larger whole,,(literary),,Discussed on Way with Words (8-16-08).  An example would be using Wall Street to refer to the nation's banking and finance system.,
metallurgy,,,,,,,
metathesis,noun,,,(literary),,,
metonymy,noun,": figure of speech used in rhetoric in which a thing or concept is not called by its own name, but by the name of something intimately associated with that thing or concept",,(literary),,Synecdoche is a form of this,
mike,noun,: microphone,,,,,
milieu,,,,,,,
milquetoast,,,,,,,
mindfulness,,,,,,,
miscegenation,,,,,,,
miser,noun,,,,,,
misgivings,noun,,,,,,
misguided,,,,,,,
misnomer,,,,,,,
missive,,,,,,,
monolith,,,,,,,
moot,,,,,,,
moral,noun,,,(philosophy),,*get the five differences between morals and ethics,
morass,,,,,,,
morphology,noun,,,(literary),,,
moxie,noun,"1: energy, pep   2: courage, determination   3: know-how  ",[eponym],,,from a trademark for the soft drink,
muggle,noun,"1: a marijuana cigarette (1920's slang)  2: a common person, esp one who is ignorant or unskilled  3: a person without magical powers (popularized by J.K. Rowling in Harry Potter) ",,,,,
murmer,noun,1: a half-suppressed or muttered complaint : grumbling  2(a): a low indistinct but often continuous sound (b): a soft or gentle utterance  3: an atypical sound of the heart typically indicating a functional or structural abnormality,,,<whisper>,,
murmer,,,,,,,
muse,,,,,,,
mysogony,,,,,,,
nadir,,,,,,,
namby pamby,,"1: lacking in character or substance : insipid  2: weak, indecisive",,,,,
narf,noun,"1: nerdy display of knowledge or humor.  2: exclamation to draw attention to an instance of geekery, usually uttered expletively.  3: the language of geeks and nerds.",,(my slang),,,
narf,expletive,"1: something uttered when a nerdy display of knowledge or humor has been presented, used to call attention to the nerdery of the subject.  ",,,,,
nascent,,,,,,,
naught,,,,,,,
ne'er do well,,,,,,,
nebbish,adjective,,,,,,
nebulous,adjective,,,,,,
nefarious,,,,,,,
nefarious,,,,,,,
negligent,,,,,,,
neologism,noun,,,(literary),,,
neologist,,,,,,,
nepenthe,noun,1: a potion used by the ancients to induce forgetfulness of pain or sorrow  2: something capable of causing oblivion of grief or suffering,,,,,
neurosis,,,,,,,
neurotic,,,,,,,
niche,,,,,,,
niggardly,adjective,,,,,,
nill,,,,,,,
nitty gritty,,,,,,,
nolens volens,,,,,,,
nonplus,verb,,,,,,
nostrum,,,,,,,
notwithstanding,,,,,,,
nubile,adjective,,,(salacious),,,
nullify,,,,,,,
numinous,adjective,,,,,,
nut graf,noun,,,(literary),,,
oaf,,,,,,,
oafish,,,,,,,
obfuscate,,,,,,,
objets d'art,,,,,,,
oblique,,,,,,,
obtuse,adjective,"1(a): not pointed or acute : blunt (b1) of an angle : exceeding 90 degrees but less than 180 degrees (b2): having an obtuse angle <an obtuse triangle>   2(a): lacking sharpness or quickness of sensibility or intellect : insensitive, stupid (b): difficult to comprehend : not clear or precise in thought or expression",,,,,
Occam's razor,,,,,,,
ode,,,,,,,
odiferous,,,,,,,
odious,,,,,,,
oenophile,noun,,,,,,
officious,,,,,,,
ogle,,,,,,,
olfactory,,,,,,,
omphalos,noun,: a central point : hub or focal point,,(obscure),,"""Omphalos"" comes from an ancient Greek word for ""navel"" and is distantly related to the Latin umbilicus (meaning ""navel"") and the Old English nafela (the source of our ""navel"").  The ancients also used omphalos to desginate a boss on a shield (that is, a raised ornamentation) and a rounded altar at Delphi, which was supposed to mark the center of the earth.  In the 19th century, English-speakers borrowed ""omphalos"" for these senses, as well as the more general sense ""center of activity.""  In the 1920s, ""omphalos"" made another appearance in English in ""omphaloskepsis,"" meaning ""contemplation of one's navel,"" but this word is relatively rare.",
omphaloskepsis,noun,: contemplation of one's navel,,(obscure),,,
onomastics,noun,1: the study of proper names.  2: the system underlying the formation and use of words especially for proper names,,(literary),,,
ontology,noun,,,(philosophy),,,
onus,noun,,,,,,
opaque,,,,,,,
opus,,,,,,,
oracular,,,,,,,
oriflamme,,,,,,,
oscillate,,,,,,,
osculate,,,,,,,
ostensible,,,,,,,
ouevre,,,,,,,
outro,,,,,,,
overbearing,adjective,1(a): tending to overwhelm : overpowering (b): decisively important : dominant  2: harshly and haughtily arrogant,,,<proud>,Overbearing suggests a tyrannical manner or an intolerable insolence <an overbearing supervisor>,
overzealous,,,,,,,
pabulum,noun,"1: food; especially : a suspension or solution of nutrients in a state suitable for absorption  2: intellectual sustenance  3: something (as writing or speech) that is insipid, simplistic, or bland",,,,"""Pabulum"" derives from the Latin term for ""food"" or ""fodder"" and was first used in English in the 18th century for anything taken in by plants or animals to maintain life and growth.  Within 30 years of its first appearance in English texts, it was also being used to refer to things so intellectually stimulating or nourishing that they could be considered food for thought.  But the word took on a whole new flavor in the 1930s when a team of Canadian doctors formulated a highly nutritious (but bland) baby cereal and named their product Pablum (based on the Latin word).  As a result, the similar-looking ""pabulum"" did a linguistic about-face and is now often used for things that are bland and unstimulating as well as for things that are intellectually sustaining.",
pacify,,,,,,,
paladin,,,,,,,
palatable,,,,,,,
palimpsest,noun,"1: writing material (as a parchment or tablet) used one or more times after earlier writing has been erased.  2: something having usually diverse layers or aspects apparent beneath the surface <Canada…is a palimpsest, an overlay of classes and generations — Margaret Atwood>",,,,,
palinode,,,,,,,
palliative,,,,,,,
pallid,,,,,,,
palpable,,,,,,,
paltry,,,,,,,
pandemic,,,,,,,
pander,,,,,,,
pandiculation,noun,": a stretching and stiffening of the trunk and extremities, as when fatigued and drowsy or on waking, often accompanied by yawning.",,(obscure),,See world wide words newsletter (12 Sep 09),
pandiculation,noun,,,,,,
pang,noun,1: a brief piercing spasm of pain   2: a sharp attack of mental anguish <pangs of remorse>  ,,,,,
Panglossian,adjective,: marked by the view that all is for the best in this best of possible worlds : excessively optimistic,[eponym],,,"Dr. Pangloss was the pedantic old tutor in Voltaire's satirical novel Candide. Pangloss was an incurable, albeit misguided optimist who claimed that ""all is for the best in this best of all possible worlds."" So persistent was he in his optimism that he kept it even after witnessing and experiencing great cruelty and suffering. The name Pangloss comes from the Greek pan, which means ""all,"" and glossa, meaning ""tongue,"" suggesting glibness and talkativeness.",
pantheon,,,,,,,
para-,,,,,,,
paragon,,,,,,,
paramount,,,,,,,
paranomasia,noun,,,(literary),,,
paratereseomaniac,noun,": someone who's crazy about seeing new sites; also, a voyeur",,(obscure),,Discussed on Way with Words (8-23-08),
parch,,,,,,,
pariah,,,,,,,
parley,verb,,,,,,
parochial,adjective,"1: of or relating to a church parish   2: of or relating to a parish as a unit of local government   3: confined or restricted as if within the borders of a parish : limited in range or scope (as to a narrow area or region) : provincial  , narrow  ",,,,,
parroni,noun,": a weak, ineffectual, clumsy, or dumb person",,(my slang),,,
parse,,,,,,,
parsimonious,,,,,,,
Parthian,adjective,"2: relating to, being, or having the effect of a shot fired while in real or feigned retreat  ",,,,"DYK: The adjective ""Parthian,"" which often shows up in the phrase ""Parthian shot,"" has its roots in the military strategies of the Parthians, citizens of an ancient civilization of southwestern Asia. One of the fighting maneuvers of Parthian horsemen was to discharge arrows while in real or feigned retreat. The maneuver must have been memorable, because ""Parthian shot"" continues to be used for a parting shot or for a cutting remark made by a person who is leaving, many centuries after the dissolution of the Parthian empire.",
pasteurize,,,,,,,
pastis,,,,,,,
pathos,,,,,,,
patter,,,,,,,
pecuniary,,,,,,,
pedantic,noun,,,,,,
pedestrian,adjective,"1: commonplace , unimaginative  2(a): going or performed on foot b: of, relating to, or designed for walking <a pedestrian mall>",,,,,
peeved,,,,,,,
peevish,,,,,,,
pejorative,,,,,,,
pen ultimate,,,,,,,
penchant,noun,,,,,,
pensive,adjective,,,,,,
percolate,,,,,,,
peremptory,,,,,,,
perfidy,,,,,,,
perfunctory,adjective,,,,,,
peril,,,,,,,
perilous,,,,,,,
periphrasis,noun,1: use of a longer phrasing in place of a possible shorter form of expression    2: an instance of periphrasi,,(literary),,,
peroration,noun,1: the concluding part of a discourse and especially an oration  2: a highly rhetorical speech,,,<oration>,,
persnickety,adjective,1(a): fussy about small details : fastidious <a persnickety teacher> (b): having the characteristics of a snob  2: requiring great precision <a persnickety job>,,,,,
persona non grata,noun,,,,,,
perspicacious,,,,,,,
perspicacity,,,,,,,
perverse,,,,,,,
petrichor,,,,,,,
phalanx,,,,,,,
phallic,adjective,,,(salacious),,,
phantasmagoric,,,,,,,
phatic,,,,,,,
philology,,,,,,,
phonology,noun,,,(literary),,,
phosphorescent,,,,,,,
physiognomy,noun,,,,,,
picayune,,,,,,,
pinchbread,noun,: a warm loaf of a lady,,(my slang),,,
pique,verb,"1: to arouse anger or resentment in : irritate <what piques linguistic conservatives — T. H. Middleton>  2(a): to excite or arouse especially by a provocation, challenge, or rebuff <sly remarks to pique their curiosity> (b): pride <he piques himself on his skill as a cook>",,,<provoke>,Pique suggests stimulating by mild irritation or challenge <that remark piqued my interest>,
pirogue,,,,,,,
pithy,,,,,,,
platitude,noun,,,,,,
plight,,,,,,,
pogonology,noun,: study of beards,,,,,
poignant,,,,,,,
polemic,,,,,,,
polyglot,,,,,,,
pompous,,,,,,,
ponder,,,,,,,
pooh-bah,,,,,,,
portend,verb,,,,,,
portmanteau,noun,1: a large suitcase  2: a word or morpheme whose form and meaning are derived from a blending of two or more distinct forms (as smog from smoke and fog),,(literary),,Coined by Lewis Carroll,
postmodern,,,,,,,
precept,,,,,,,
precocious,,,,,,,
preeminent,,,,,,,
prehensile,,,,,,,
preponderence,,,,,,,
priapism,noun,,,(salacious),,,
prima facie,,,[Latin],,,,
priory,,,,,,,
privy,,,,,,,
probity,,,,,,,
proclivity,noun,,,,,,
procrustean,adjective ,"often capitalized  1: of, relating to, or typical of Procrustes   2: marked by arbitrary often ruthless disregard of individual differences or special circumstances  ",,(eponym),,,
procrustean bed,noun,: a scheme or pattern into which someone or something is arbitrarily forced,,(eponym),,,
procure,,,,,,,
profane,,,,,,,
profound,,,,,,,
profundity,,,,,,,
proles,,,,,,,
prolix,adjective,1: unduly prolonged or drawn out : too long   2: marked by or using an excess of words,,,<wordy>,Prolix suggests unreasonable and tedious dwelling on details <habitually transformed brief anecdotes into prolix sagas>,
prologue,,,,,,,
propriety,,,,,,,
protracted,adjective,,,,,,
proverb,,,,,,,
provocatuer,,,,,,,
prowess,,,,,,,
proxy,noun,,,,,,
prude,,,,,,,
prudence,,,,,,,
prudent,,,,,,,
prurient,noun,,,(gross),,,
psyche,,,,,,,
psychoanalyze,,,,,,,
puckish,,,,,,,
puddle pants,,,,,,,
puerile,adjective,,,,,,
pugnacious,adjective,,,,,,
pulchritude,noun,,,,,,
pundit,,,,,,,
punitive,adjective," : inflicting, involving, or aiming at punishment <severe punitive measures> ",,,,,
purge,,,,,,,
purulent,noun,,,(gross),,,
purveyor,,,,,,,
purview,noun,"1a: the body or enacting part of a statute b: the limit, purpose, or scope of a statute  2: the range or limit of authority, competence, responsibility, concern, or intention  3: range of vision, understanding, or cognizance",,,,"""Purview"" comes from purveu, a word often found in the legal statutes of 13th- and 14th-century England.  These statutes, written in Anglo-French, opened with the words Purveu est and Purveu que, which translate literally as ""It is provided"" and ""Provided that.""  Purveu derives from porveu, the past participle of the Old French verb Porveeir, meaning ""to provide.""  Our word ""view"" derives from the past participle of another Anglo-French word, veer, meaning ""to see,"" and ultimately from the Latin videre, also meaning ""to see"" and an ancestor of porveeir.",
pusillanimous,,,,,,,
putative,adjective,1 : commonly accepted or supposed   2 : assumed to exist or to have existed ,,,,,
putrid,,,,,,,
quaff,verb,,,,,,
quash,,,,,,,
Queens tickle,noun,: a gunshot to the toe. A bite--meant to be playful--that draws blood,,my slang,,,
quell,,,,,,,
quintessential,,,,,,,
quip,,,,,,,
quirk,,,,,,,
quixotic,,,,,,,
rabbit hole,noun,: a bizarre or difficult state or situation,,,,Alice in Wonderland,
rabble-rouser,,,,,,,
raga,,,,,,,
rail,verb,": to revile or scold in harsh, insolent, or abusive language",,,<scold>,Usage Note: rail (at or against) stresses an unrestrained berating <railed loudly at their insolence>,
raillery,noun,1: good-naturd ridicule : banter  2: jest,,,,"DIY: ""Raillery"" is the anglicized form of the French word raillerie, which stems from the Middle French verb railler, meaning ""to mock.""  Railler, which probably comes from Old French reillier (""to growl"" or ""to mutter"") and ultimately from Late Latin ragere (""to neigh""), also gave us our verb ""rail.""  But ""rail"" and ""raillery"" are quite different in tone.  ""Rail"" means ""to revile or scold in harsh, insolent, or abusive language,"" whereas ""raillery"" usually suggests wit that pokes fun good-naturedly.",
raison d'etre,noun,,[French],,,,
rake,,,,,,,
rampant,,,,,,,
rancid,,,,,,,
rancor,,,,,,,
rankle,,,,,,,
rapacious,,,,,,,
rapine,,,,,,,
rapport,noun,": relation  ; especially : relation marked by harmony, conformity, accord, or affinity",,,,,
raucous,adjective,,,,,,
recant,,,,,,,
recapitulate,,,,,,,
receptive,,,,,,,
recitation,,,,,,,
recluse,,,,,,,
recognizance,,,,,,,
recompense,,,,,,,
reconcile,,,,,,,
recondite,adjective,"1: hidden from sight : concealed    2: difficult or impossible for one of ordinary understanding or knowledge to comprehend : deep <a recondite subject>    3: of, relating to, or dealing with something little known or obscure <recondite fact about the origin of the holiday — Floyd Dell>",,,<complicated>,,
reconnoiter,,,,,,,
recourse,noun,,,,,,
recrimination,noun,: a retaliatory accusation  ; also : the making of such accusations <endless recrimination>,,(political),<incriminate>,,
rectitude,,,,,,,
red herring,,,,,,,
redemption,,,,,,,
redoubt,,,,,,,
redoubtable,,,,,,,
redux,,,,,,,
regress,,,,,,,
reincarnation,,,,,,,
remiss,adjective,,,,,,
remit,,,,,,,
remuneration,,,,,,,
reneg,,,,,,,
repartee,,,,,,,
repose,noun,,,,,,
reprieve,,,,,,,
reprove,,,,,,,
repugnant,adjective,,,,,,
reputable,,,,,,,
requiem,,,,,,,
res ipsa loquitor,noun,,[Latin],(law),,,
resent,,,,,,,
Resistentialism,noun,,,,,"See Dictionary.com entry.  Also, Way With Words, 9-20-08",
resounding,,,,,,,
respite,,,,,,,
restitution,noun,,,,,,
retrosexual,noun,: a man who adopts a traditional masculine style in dress and manners,,(slang),,"merriam-webster: Editor's Note:

Retrosexual is a word that has been used in two very different ways.

It sometimes describes an old-fashioned ""manly man"" – e.g. a beer and football-loving guy who cares little for his appearance.

But it has also been used, as in the example above, to describe someone who self-consciously adopts traditional masculine styles – e.g. old-fashioned manners and clothes typical of the early 1960s (think Mad Men).",
revelry,,,,,,,
reverence,,,,,,,
revulsion,,,,,,,
rhapsody,noun,,,(literary),,,
rheostatic,,,,,,,
ribald,adjective,,,,,,
rictus,,,,,,,
riff,,,,,,,
ripsnorter,noun,,,,,,
risible,,,,,,,
rockabilly,,,,,,,
rogue,,,,,,,
roil,,,,,,,
rote,,,,,,,
roust,,,,,,,
rout,noun,,,,,,
row,noun,,[British],,,,
rubric,noun,,,,,,
ruddy,adjective,"1: having a healthy reddish color  2: red , reddish",,,,,
rudimentary,,,,,,,
rumination,,,,,,,
sacrosanct,,,,,,,
salacious,adjective,"1: arousing or appealing to sexual desire or imagination: lascivious.  2: lecherous, lustful ",,,,,
salient,adjective,"1: moving by leaps or springs : jumping  2: jetting upward <a salient fountain>  3(a): projecting beyond a line, surface, or level (b): standing out conspicuously : prominent  ; especially : of notable significance <similar to…Prohibition, but there are a couple of salient differences — Tony Gibbs>",,,<noticeable>,Salient applies to something of significance that merits the attention given it <the salient points of the speech>,
salvo,,,,,,,
sandbag,verb,"5: Informal: (a): to set upon violently; attack from or as if from ambush.  (b): to coerce or intimidate, as by threats <The election committee was sandbagged into nominating the officers for a second term>.  (c): to thwart or cause to fail or be rejected, esp. surreptitiously or without warning <He sandbagged our proposal by snide remarks to the boss>.",,,,,
sanguine,,,,,,,
sans,,,,,,,
sarcophagi,,,,,,,
sardonic,,,,,,,
sashay,,,,,,,
satiate,,,,,,,
satire,,,,,,,
saucy,,,,,,,
saunter,,,,,,,
saurian,,,,,,,
savoir-fair,,,,,,tact',
savvy,,,,,,,
schadenfreude,noun,: a malicious satisfaction obtained from the misfortunes of others.,[German],,,,
schism,,,,,,,
Schmuddelwetter,noun,": dreary, drizzly weather. hanna says only in the north of germany",[German],,,,
sciolism,noun,: a superficial show of learning,,,,,
scion,,,,,,,
scoff,,,,,,,
scorn,,,,,,,
screed,,,,,,,
scribe,,,,,,,
scrivener,,,,,,,
scrum,,,,,,,
scrutiny,,,,,,,
scudmother,noun," 1: a fake metal band name 2: bitch, but in a good way",,(my slang),,,
sea pickle,noun,":feces in turd form, especially in a toilet.",,(gross),<poop>,,
selah,,,,,,,
self-indulgent,,,,,,,
self-seeking,,,,,,,
semantic,,,,,,,
seminal,,,,,,,
sententious,adjective,"1a: given to or abounding in aphoristic expression b : given to or abounding in excessive moralizing 2: terse, aphoristic, or moralistic in expression : pithy, epigrammatic",,,,,
sententious,,,,,,,
seppuku,noun,"a form of Japanese ritual suicide by disembowelment. Seppuku was originally reserved only for samurai. Part of the samurai honor code, seppuku was used voluntarily by samurai to die with honor rather than fall into the hands of their enemies, as a form of capital punishment  for samurai who have committed serious offenses, or performed for other reasons that have brought shame to them. The ceremonial disembowelment, which is usually part of a more elaborate ritual and performed in front of spectators, consists of plunging a short blade, traditionally a tantō, into the abdomen and moving the blade from left to right in a slicing motion.[1]",[Japanese],,,,
serendipity,,,,,,,
sesquipedalian,adjective,,,(literary),,"Note that 'ponderous' is purjorative, meaning ""dull and labored.""",
sesquipedalian,noun,,,(literary),,,
sever,,,,,,,
sheer,,,,,,,
shiftless,,,,,<lazy>,,
shimmy,,,,,,,
shovel ready,,,,,,,
shrewd,,,,,,,
shrill,,,,,,,
shudder,,,,,,,
shunpike,,,,,,,
simper,verb,intransitive verb  : to smile in a silly manner   transitive verb  : to say with a simper <simpered an apology>  ,,,<smile>,,
sinuous,noun,,,,,,
skew,,,,,,,
skullduggery,,,,,,,
slake,,,,,,,
slander,,,,,,,
small beer,,,,,,,
smegma,noun,: the secretion of a sebaceous gland  ; specifically : the cheesy sebaceous matter that collects between the glans penis and the foreskin or around the clitoris and labia minora,[slang],(gross),,,
smite,,,,,,,
smitten,,,,,,,
snide,,,,,,,
sobriquet,,,,,,,
sockdologer ,noun,1: something that settles a matter : a decisive blow or answer : finisher   2: something outstanding or exceptional  ,,,,Origin unknown.  Part of a phrase in the play The American Cousin.  Was chosen by Booth as the point at which he'd shoot Lincoln.  Discussed on Way with Words (10-25-08),
sodomy,,,,,,,
soi-disant,adjective,,[French],,,,
sojourn,,,,,,,
solecism,,,,,,,
solipsism,,: a theory holding that the self can know nothing but its own modifications and that the self is the only existent thing; also  : extreme egocentrism,,,,,
solubrious,,,,,,,
sommalier,,,,,,,
somnolent,, 1 : of a kind likely to induce sleep <a somnolent sermon>  2 a : inclined to or heavy with sleep : drowsy b : sleepy 2 <somnolent rivers>,,,,,
sonorous,,"1 : producing sound (as when struck)  2 : full or loud in sound <a sonorous voice>
3 : imposing or impressive in effect or style
4 : having a high or an indicated degree of sonority",,,,,
sordid,,,,,,,
soupçon,noun,,[French],,<trace>,,
sovereignty,,,,,,,
spar,,,,,,,
spartan,adjective,"2(a): often not capitalized : marked by strict self-discipline or self-denial <a Spartan athlete> (b): often not capitalized : marked by simplicity, frugality, or avoidance of luxury and comfort <a Spartan room> (c): laconic (d): undaunted by pain or danger",,,,,
specious,,,,,,,
